time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-24T13:09:14.845139+00:00,230011480,60,DOPPINGEN,JURMO AVA,0.0,0,OITJ,1596,1,15,15,3,5
2025-03-24T13:09:13.033865+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:12.945105+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:12.936364+00:00,230145000,59,ARANDA,HELSINKI,46.0,8802076,OIRY,121152,3,30,36,7,7
2025-03-24T13:09:12.073264+00:00,209624000,70,AQUAMAR,FIRAU,45.0,9951850,5BGK6,248192,1,5,85,11,5
2025-03-24T13:09:11.880786+00:00,230981050,60,MERISILTA,RIUTTU,38.0,8702903,OG6628,771131,3,30,34,9,3
2025-03-24T13:09:11.833058+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:09:11.380704+00:00,230634000,60,STELLA,GALTBY-KITTUIS,42.0,9624691,OJPW,121408,1,33,33,9,5
2025-03-24T13:09:10.346385+00:00,244321000,70,TUNA,E,38.0,9306691,PHBX,238848,1,77,12,10,4
2025-03-24T13:09:09.911147+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,25,59,12,8
2025-03-24T13:09:09.570858+00:00,230706000,80,SAANA,SESDL-FISKV,61.0,9739836,OJUN,248512,1,120,30,15,8
2025-03-24T13:09:09.231334+00:00,230987390,60,FALCO,GALTBY,42.0,8685741,OI 7119,842880,1,26,26,6,6
2025-03-24T13:09:07.448981+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:09:07.051223+00:00,276858000,52,SELENE,HARBOUR ASSISTANCE,56.0,9875874,ESLQ,692992,3,17,15,6,6
2025-03-24T13:09:06.901232+00:00,230109470,50,PILOT L129,HANKO,26.0,0,,658816,3,12,4,2,3
2025-03-24T13:09:05.903505+00:00,636019971,70,KILIAN OLDENDORFF,FITHK,73.0,9863089,D5XA8,240320,1,214,15,22,10
2025-03-24T13:09:05.213112+00:00,275517000,70,FRIENDLAND,FIINK,57.0,9246906,YLRH,243712,1,85,19,7,8
2025-03-24T13:09:05.115376+00:00,230998670,36,ASTRID,HEL HALKOLAITURI,23.0,0,OFLT,682880,1,14,11,5,2
2025-03-24T13:09:04.501304+00:00,230993680,90,AIRISTO,,0.0,7935292,OHMR,1596,1,10,20,4,6
2025-03-24T13:09:03.827953+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,3,23,166,17,17
2025-03-24T13:09:03.634354+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:09:03.442725+00:00,230992640,60,FISKO,KORPPOO AREA,24.0,0,OIRX,1596,1,13,7,3,3
2025-03-24T13:09:01.322302+00:00,276014670,60,NARGO,TALLINN<>NAISSAAR,15.0,0,ES4081,484190,1,9,7,2,3
2025-03-24T13:09:00.272179+00:00,265604490,60,AURORA,,32.0,0,SDZE,0,15,32,32,6,6
2025-03-24T13:08:59.129488+00:00,230192000,90,MERIKOTKA,,0.0,0,OJFL,1596,1,169,31,16,18
2025-03-24T13:08:58.143613+00:00,230291000,90,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,1,25,59,12,8
2025-03-24T13:08:57.549397+00:00,230302000,90,MERIKARHU,KOTKA TRAFFIC AREA,46.0,4544080,OJTM,170910,1,30,28,6,5
2025-03-24T13:08:56.743236+00:00,230279000,52,NEPTUN,FI HKO,50.0,7917965,OIKS,461632,1,8,24,6,4
2025-03-24T13:08:56.541250+00:00,230111650,53,GAIA,FITKU,18.0,0,OF-4195,1596,1,11,8,2,5
2025-03-24T13:08:56.299743+00:00,276197000,40,EVA-320,TALLINN(HUNDIPEA),20.0,0,ES2338,644160,1,14,4,3,4
2025-03-24T13:08:56.109564+00:00,230111090,90,MT1305,RESEARCH,0.0,0,OI7501,67584,15,10,5,3,2
2025-03-24T13:08:54.919082+00:00,230176150,90,NOTUS,TURKU,40.0,7382926,OHA4316,779456,1,9,16,3,4
2025-03-24T13:08:53.384924+00:00,245170000,70,MISSOURIBORG,SEGVX,47.0,9228978,PFBI,248256,1,122,12,8,9
2025-03-24T13:08:52.426632+00:00,230940340,52,CETUS,HARBOUR TUG CH12,47.0,7407568,OJNZ,212160,1,8,17,4,4
2025-03-24T13:08:52.165217+00:00,230006760,50,PILOT L143,,0.0,0,OJ6711,1596,0,11,4,2,3
2025-03-24T13:08:50.909614+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:08:50.561739+00:00,230111090,90,MT1305,RESEARCH,0.0,0,OI7501,67584,1,11,4,4,1
2025-03-24T13:08:50.285627+00:00,305714000,70,FROLAND,OULU,53.0,9505584,V2QM8,244800,1,90,17,15,3
2025-03-24T13:08:49.733841+00:00,230683000,70,HAAGA,FI RAA,100.0,9797632,OJSS,245120,1,134,26,19,7
2025-03-24T13:08:49.260130+00:00,273126000,90,KAPITAN M. IZMAYLOV,RUVYG ,45.0,7406318,UFPC,826816,1,16,40,14,2
2025-03-24T13:08:48.923423+00:00,230178000,52,APOLLON,TURKU,42.0,7927946,OIOH,149953,1,14,16,8,2
2025-03-24T13:08:48.090078+00:00,276342000,90,VIIKING,MIINISADAM-LAHESVV,20.0,8228244,ES2412,246302,1,20,20,18,2
2025-03-24T13:08:46.903448+00:00,230713000,60,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,246282,1,23,166,17,17
2025-03-24T13:08:46.855259+00:00,276718000,52,CASTOR,HARBOUR ASSISTANCE,46.0,9444584,ESCV,429549,1,13,21,8,4
2025-03-24T13:08:46.714177+00:00,230938210,60,REPLOT 2,GALTBY -OLOFSNAS,33.0,8634766,OF 2244,1596,1,0,0,0,0
2025-03-24T13:08:46.668562+00:00,230046140,90,VIGGEN,UTO,0.0,0,OH2309,169280,1,9,11,3,4
2025-03-24T13:08:45.543125+00:00,248886000,80,TRANS FJELL,SEHEL,65.0,9329306,9HA2563,251136,3,73,15,7,7
2025-03-24T13:08:45.396406+00:00,230992750,54,SVAERTAN,MARIEHAMN,24.0,0,OJDT,699102,1,0,0,0,0
