time,mmsi,ship_type,name,destination,draught,imo,call_sign,eta,pos_type,reference_point_a,reference_point_b,reference_point_c,reference_point_d
2025-03-20T11:12:16.022199+00:00,276015540,,ISBJORN,,0.0,0,,242688,15,,,,
2025-03-20T11:12:15.946128+00:00,230938240,,NAGU 2,RETAIS-PARNAS,32.0,8634546,OF 2239,1596,1,,,,
2025-03-20T11:12:15.427387+00:00,273351080,,DOBRYNYA,UST'-LUGA          ,46.0,9584968,UBSG4,442624,15,,,,
2025-03-20T11:12:15.150260+00:00,230713000,,VIKING CINDERELLA,FIHEL<>FIMHQ<>SESTO,67.0,8719188,OIZS,240192,3,,,,
2025-03-20T11:12:14.426961+00:00,230291000,,VOIMA,HELSINKI,65.0,5383158,OHLW,666432,3,,,,
2025-03-20T11:12:14.382698+00:00,255915979,,STEN BERGEN,FISKV,65.0,9407988,CQ2437,238080,1,,,,
2025-03-20T11:12:14.054119+00:00,276519000,,VICTORIA 1,EEVAN<>FIHEL,61.0,9281281,ESRP,238464,3,,,,
2025-03-20T11:12:13.116947+00:00,230109450,,JAASALO,KEMI TUG CH12,52.0,7407544,OIHE,676096,1,,,,
2025-03-20T11:12:12.245463+00:00,230610000,,SKARVEN,SVINO-DEGERBY,0.0,9436630,OJNT,1596,1,,,,
2025-03-20T11:12:10.893419+00:00,276672000,,STAR I,EE PLS >< SE KPS,63.0,9364722,ESCJ,237952,1,,,,
2025-03-20T11:12:10.472961+00:00,230035100,,GOLDEN ROSE,FISHING CPA 0.5,40.0,7922415,OJ9434,420480,1,,,,
2025-03-20T11:12:10.285034+00:00,230111090,,MT1305,RESEARCH,0.0,0,OI7501,67584,1,,,,
2025-03-20T11:12:09.738650+00:00,255802840,,FEMBRIA,RAHJA,50.0,9350771,CQPV,234078,1,,,,
